#Antizana;;;;;;;;;;;
#station_name;jj_debut;mm_debut;aaaa_debut;jj_fin;mm_fin;aaaa_fin;lat_wgs84;lon_wgs84;altitude;BM_par_tranche_altitude;mois
4950_5000;3;1;2002;30;1;2002;-0.476303;-78.151219;4975;-0.29;1
4900_4950;3;1;2002;30;1;2002;-0.475682;-78.152163;4925;-0.34;1
4850_4900;3;1;2002;30;1;2002;-0.47481;-78.153253;4875;-0.33;1
4800_4850;3;1;2002;30;1;2002;-0.473556;-78.154349;4825;-0.32;1
4950_5000;30;1;2002;28;2;2002;-0.476303;-78.151219;4975;-0.28;2
4900_4950;30;1;2002;28;2;2002;-0.475682;-78.152163;4925;-0.20;2
4850_4900;30;1;2002;28;2;2002;-0.47481;-78.153253;4875;-0.28;2
4800_4850;30;1;2002;28;2;2002;-0.473556;-78.154349;4825;-0.11;2
4950_5000;28;2;2002;2;4;2002;-0.476303;-78.151219;4975;-0.47;3
4900_4950;28;2;2002;2;4;2002;-0.475682;-78.152163;4925;-0.50;3
4850_4900;28;2;2002;2;4;2002;-0.47481;-78.153253;4875;-0.52;3
4800_4850;28;2;2002;2;4;2002;-0.473556;-78.154349;4825;-0.70;3
4950_5000;2;4;2002;28;4;2002;-0.476303;-78.151219;4975;-0.23;4
4900_4950;2;4;2002;28;4;2002;-0.475682;-78.152163;4925;-0.32;4
4850_4900;2;4;2002;28;4;2002;-0.47481;-78.153253;4875;-0.30;4
4800_4850;2;4;2002;28;4;2002;-0.473556;-78.154349;4825;-0.30;4
4950_5000;28;4;2002;3;6;2002;-0.476303;-78.151219;4975;-0.32;5
4900_4950;28;4;2002;3;6;2002;-0.475682;-78.152163;4925;-0.40;5
4850_4900;28;4;2002;3;6;2002;-0.47481;-78.153253;4875;-0.41;5
4800_4850;28;4;2002;3;6;2002;-0.473556;-78.154349;4825;-0.71;5
4950_5000;3;6;2002;29;6;2002;-0.476303;-78.151219;4975;-0.37;6
4900_4950;3;6;2002;29;6;2002;-0.475682;-78.152163;4925;-0.40;6
4850_4900;3;6;2002;29;6;2002;-0.47481;-78.153253;4875;-0.45;6
4800_4850;3;6;2002;29;6;2002;-0.473556;-78.154349;4825;-6999;6
4950_5000;29;6;2002;27;7;2002;-0.476303;-78.151219;4975;-0.37;7
4900_4950;29;6;2002;27;7;2002;-0.475682;-78.152163;4925;-0.40;7
4850_4900;29;6;2002;27;7;2002;-0.47481;-78.153253;4875;-0.45;7
4800_4850;29;6;2002;27;7;2002;-0.473556;-78.154349;4825;-6999;7
4950_5000;27;7;2002;2;9;2002;-0.476303;-78.151219;4975;-0.38;8
4900_4950;27;7;2002;2;9;2002;-0.475682;-78.152163;4925;-0.40;8
4850_4900;27;7;2002;2;9;2002;-0.47481;-78.153253;4875;-0.57;8
4800_4850;27;7;2002;2;9;2002;-0.473556;-78.154349;4825;-6999;8
4950_5000;2;9;2002;29;9;2002;-0.476303;-78.151219;4975;-0.57;9
4900_4950;2;9;2002;29;9;2002;-0.475682;-78.152163;4925;-0.48;9
4850_4900;2;9;2002;29;9;2002;-0.47481;-78.153253;4875;-0.44;9
4800_4850;2;9;2002;29;9;2002;-0.473556;-78.154349;4825;-6999;9
4950_5000;29;9;2002;28;10;2002;-0.476303;-78.151219;4975;-0.41;10
4900_4950;29;9;2002;28;10;2002;-0.475682;-78.152163;4925;-0.41;10
4850_4900;29;9;2002;28;10;2002;-0.47481;-78.153253;4875;-0.50;10
4800_4850;29;9;2002;28;10;2002;-0.473556;-78.154349;4825;-6999;10
4950_5000;28;10;2002;3;12;2002;-0.476303;-78.151219;4975;-0.17;11
4900_4950;28;10;2002;3;12;2002;-0.475682;-78.152163;4925;-0.32;11
4850_4900;28;10;2002;3;12;2002;-0.47481;-78.153253;4875;-0.30;11
4800_4850;28;10;2002;3;12;2002;-0.473556;-78.154349;4825;-6999;11
4950_5000;3;12;2002;2;1;2003;-0.476303;-78.151219;4975;-0.27;12
4900_4950;3;12;2002;2;1;2003;-0.475682;-78.152163;4925;-0.47;12
4850_4900;3;12;2002;2;1;2003;-0.47481;-78.153253;4875;-0.54;12
4800_4850;3;12;2002;2;1;2003;-0.473556;-78.154349;4825;-6999;12
