#Antizana;;;;;;;;;;;
#station_name;jj_debut;mm_debut;aaaa_debut;jj_fin;mm_fin;aaaa_fin;lat_wgs84;lon_wgs84;altitude;BM_par_tranche_altitude;mois
5000_5050;3;1;1997;15;2;1997;-0.476689;-78.150164;5025;-0.19;1
4950_5000;3;1;1997;15;2;1997;-0.476303;-78.151219;4975;-0.14;1
4900_4950;3;1;1997;15;2;1997;-0.475682;-78.152163;4925;-0.24;1
4850_4900;3;1;1997;15;2;1997;-0.47481;-78.153253;4875;-0.22;1
4800_4850;3;1;1997;15;2;1997;-0.473556;-78.154349;4825;-0.38;1
5000_5050;15;2;1997;6;3;1997;-0.476689;-78.150164;5025;-0.05;2
4950_5000;15;2;1997;6;3;1997;-0.476303;-78.151219;4975;-0.01;2
4900_4950;15;2;1997;6;3;1997;-0.475682;-78.152163;4925;-0.07;2
4850_4900;15;2;1997;6;3;1997;-0.47481;-78.153253;4875;-0.10;2
4800_4850;15;2;1997;6;3;1997;-0.473556;-78.154349;4825;-0.28;2
5000_5050;6;3;1997;2;4;1997;-0.476689;-78.150164;5025;-0.07;3
4950_5000;6;3;1997;2;4;1997;-0.476303;-78.151219;4975;-0.01;3
4900_4950;6;3;1997;2;4;1997;-0.475682;-78.152163;4925;-0.07;3
4850_4900;6;3;1997;2;4;1997;-0.47481;-78.153253;4875;-0.17;3
4800_4850;6;3;1997;2;4;1997;-0.473556;-78.154349;4825;-0.18;3
5000_5050;2;4;1997;29;4;1997;-0.476689;-78.150164;5025;-0.07;4
4950_5000;2;4;1997;29;4;1997;-0.476303;-78.151219;4975;-0.04;4
4900_4950;2;4;1997;29;4;1997;-0.475682;-78.152163;4925;-0.19;4
4850_4900;2;4;1997;29;4;1997;-0.47481;-78.153253;4875;-0.52;4
4800_4850;2;4;1997;29;4;1997;-0.473556;-78.154349;4825;-6999;4
5000_5050;29;4;1997;-6999;5;1997;-0.476689;-78.150164;5025;-0.13;5
4950_5000;29;4;1997;-6999;5;1997;-0.476303;-78.151219;4975;-0.08;5
4900_4950;29;4;1997;-6999;5;1997;-0.475682;-78.152163;4925;-0.45;5
4850_4900;29;4;1997;-6999;5;1997;-0.47481;-78.153253;4875;-0.52;5
4800_4850;29;4;1997;-6999;5;1997;-0.473556;-78.154349;4825;-0.61;5
5000_5050;-6999;5;1997;3;7;1997;-0.476689;-78.150164;5025;-0.13;6
4950_5000;-6999;5;1997;3;7;1997;-0.476303;-78.151219;4975;-0.08;6
4900_4950;-6999;5;1997;3;7;1997;-0.475682;-78.152163;4925;-0.45;6
4850_4900;-6999;5;1997;3;7;1997;-0.47481;-78.153253;4875;-0.52;6
4800_4850;-6999;5;1997;3;7;1997;-0.473556;-78.154349;4825;-0.61;6
5000_5050;3;7;1997;-6999;8;1997;-0.476689;-78.150164;5025;-0.29;7
4950_5000;3;7;1997;-6999;8;1997;-0.476303;-78.151219;4975;-0.18;7
4900_4950;3;7;1997;-6999;8;1997;-0.475682;-78.152163;4925;-0.58;7
4850_4900;3;7;1997;-6999;8;1997;-0.47481;-78.153253;4875;-0.59;7
4800_4850;3;7;1997;-6999;8;1997;-0.473556;-78.154349;4825;-6999;7
5000_5050;-6999;8;1997;3;9;1997;-0.476689;-78.150164;5025;-0.30;8
4950_5000;-6999;8;1997;3;9;1997;-0.476303;-78.151219;4975;-0.51;8
4900_4950;-6999;8;1997;3;9;1997;-0.475682;-78.152163;4925;-6999;8
4850_4900;-6999;8;1997;3;9;1997;-0.47481;-78.153253;4875;-0.65;8
4800_4850;-6999;8;1997;3;9;1997;-0.473556;-78.154349;4825;-0.92;8
5000_5050;3;9;1997;30;9;1997;-0.476689;-78.150164;5025;-0.23;9
4950_5000;3;9;1997;30;9;1997;-0.476303;-78.151219;4975;-0.36;9
4900_4950;3;9;1997;30;9;1997;-0.475682;-78.152163;4925;-0.42;9
4850_4900;3;9;1997;30;9;1997;-0.47481;-78.153253;4875;-0.55;9
4800_4850;3;9;1997;30;9;1997;-0.473556;-78.154349;4825;-0.77;9
5000_5050;30;9;1997;31;10;1997;-0.476689;-78.150164;5025;-0.23;10
4950_5000;30;9;1997;31;10;1997;-0.476303;-78.151219;4975;-0.36;10
4900_4950;30;9;1997;31;10;1997;-0.475682;-78.152163;4925;-0.34;10
4850_4900;30;9;1997;31;10;1997;-0.47481;-78.153253;4875;-0.45;10
4800_4850;30;9;1997;31;10;1997;-0.473556;-78.154349;4825;-0.57;10
5000_5050;31;10;1997;3;12;1997;-0.476689;-78.150164;5025;-0.13;11
4950_5000;31;10;1997;3;12;1997;-0.476303;-78.151219;4975;-0.33;11
4900_4950;31;10;1997;3;12;1997;-0.475682;-78.152163;4925;-0.17;11
4850_4900;31;10;1997;3;12;1997;-0.47481;-78.153253;4875;-0.29;11
4800_4850;31;10;1997;3;12;1997;-0.473556;-78.154349;4825;-0.42;11
5000_5050;3;12;1997;29;12;1997;-0.476689;-78.150164;5025;-0.10;12
4950_5000;3;12;1997;29;12;1997;-0.476303;-78.151219;4975;-0.25;12
4900_4950;3;12;1997;29;12;1997;-0.475682;-78.152163;4925;-0.40;12
4850_4900;3;12;1997;29;12;1997;-0.47481;-78.153253;4875;-0.24;12
4800_4850;3;12;1997;29;12;1997;-0.473556;-78.154349;4825;-6999;12
