#Antizana;;;;;;;;;;;
#station_name;jj_debut;mm_debut;aaaa_debut;jj_fin;mm_fin;aaaa_fin;lat_wgs84;lon_wgs84;altitude;BM_par_tranche_altitude;mois
5000_5050;29;12;1997;-6999;2;1998;-0.476689;-78.150164;5025;-0.20;1
4950_5000;29;12;1997;-6999;2;1998;-0.476303;-78.151219;4975;-0.46;1
4900_4950;29;12;1997;-6999;2;1998;-0.475682;-78.152163;4925;-0.51;1
4850_4900;29;12;1997;-6999;2;1998;-0.47481;-78.153253;4875;-0.86;1
4800_4850;29;12;1997;-6999;2;1998;-0.473556;-78.154349;4825;-6999;1
5000_5050;-6999;2;1998;26;2;1998;-0.476689;-78.150164;5025;-0.39;2
4950_5000;-6999;2;1998;26;2;1998;-0.476303;-78.151219;4975;-0.47;2
4900_4950;-6999;2;1998;26;2;1998;-0.475682;-78.152163;4925;-0.57;2
4850_4900;-6999;2;1998;26;2;1998;-0.47481;-78.153253;4875;-0.67;2
4800_4850;-6999;2;1998;26;2;1998;-0.473556;-78.154349;4825;-0.82;2
5000_5050;26;2;1998;1;4;1998;-0.476689;-78.150164;5025;-0.58;3
4950_5000;26;2;1998;1;4;1998;-0.476303;-78.151219;4975;-0.72;3
4900_4950;26;2;1998;1;4;1998;-0.475682;-78.152163;4925;-0.79;3
4850_4900;26;2;1998;1;4;1998;-0.47481;-78.153253;4875;-0.97;3
4800_4850;26;2;1998;1;4;1998;-0.473556;-78.154349;4825;-0.91;3
5000_5050;1;4;1998;5;5;1998;-0.476689;-78.150164;5025;-0.55;4
4950_5000;1;4;1998;5;5;1998;-0.476303;-78.151219;4975;-0.55;4
4900_4950;1;4;1998;5;5;1998;-0.475682;-78.152163;4925;-0.82;4
4850_4900;1;4;1998;5;5;1998;-0.47481;-78.153253;4875;-0.98;4
4800_4850;1;4;1998;5;5;1998;-0.473556;-78.154349;4825;-1.04;4
5000_5050;5;5;1998;2;6;1998;-0.476689;-78.150164;5025;-0.27;5
4950_5000;5;5;1998;2;6;1998;-0.476303;-78.151219;4975;-0.45;5
4900_4950;5;5;1998;2;6;1998;-0.475682;-78.152163;4925;-0.61;5
4850_4900;5;5;1998;2;6;1998;-0.47481;-78.153253;4875;-0.85;5
4800_4850;5;5;1998;2;6;1998;-0.473556;-78.154349;4825;-0.88;5
5000_5050;2;6;1998;1;7;1998;-0.476689;-78.150164;5025;-0.06;6
4950_5000;2;6;1998;1;7;1998;-0.476303;-78.151219;4975;-0.20;6
4900_4950;2;6;1998;1;7;1998;-0.475682;-78.152163;4925;-0.41;6
4850_4900;2;6;1998;1;7;1998;-0.47481;-78.153253;4875;-0.24;6
4800_4850;2;6;1998;1;7;1998;-0.473556;-78.154349;4825;-6999;6
5000_5050;1;7;1998;31;7;1998;-0.476689;-78.150164;5025;-0.06;7
4950_5000;1;7;1998;31;7;1998;-0.476303;-78.151219;4975;-0.13;7
4900_4950;1;7;1998;31;7;1998;-0.475682;-78.152163;4925;-0.17;7
4850_4900;1;7;1998;31;7;1998;-0.47481;-78.153253;4875;-0.11;7
4800_4850;1;7;1998;31;7;1998;-0.473556;-78.154349;4825;-6999;7
5000_5050;31;7;1998;3;9;1998;-0.476689;-78.150164;5025;-0.12;8
4950_5000;31;7;1998;3;9;1998;-0.476303;-78.151219;4975;-0.09;8
4900_4950;31;7;1998;3;9;1998;-0.475682;-78.152163;4925;-0.12;8
4850_4900;31;7;1998;3;9;1998;-0.47481;-78.153253;4875;-0.12;8
4800_4850;31;7;1998;3;9;1998;-0.473556;-78.154349;4825;-0.11;8
5000_5050;3;9;1998;30;9;1998;-0.476689;-78.150164;5025;-0.08;9
4950_5000;3;9;1998;30;9;1998;-0.476303;-78.151219;4975;-0.31;9
4900_4950;3;9;1998;30;9;1998;-0.475682;-78.152163;4925;-0.17;9
4850_4900;3;9;1998;30;9;1998;-0.47481;-78.153253;4875;-0.25;9
4800_4850;3;9;1998;30;9;1998;-0.473556;-78.154349;4825;-0.43;9
5000_5050;30;9;1998;-6999;11;1998;-0.476689;-78.150164;5025;-0.12;10
4950_5000;30;9;1998;-6999;11;1998;-0.476303;-78.151219;4975;-0.15;10
4900_4950;30;9;1998;-6999;11;1998;-0.475682;-78.152163;4925;-0.19;10
4850_4900;30;9;1998;-6999;11;1998;-0.47481;-78.153253;4875;-0.13;10
4800_4850;30;9;1998;-6999;11;1998;-0.473556;-78.154349;4825;-0.47;10
5000_5050;-6999;11;1998;1;12;1998;-0.476689;-78.150164;5025;-0.12;11
4950_5000;-6999;11;1998;1;12;1998;-0.476303;-78.151219;4975;-0.14;11
4900_4950;-6999;11;1998;1;12;1998;-0.475682;-78.152163;4925;-0.16;11
4850_4900;-6999;11;1998;1;12;1998;-0.47481;-78.153253;4875;-0.40;11
4800_4850;-6999;11;1998;1;12;1998;-0.473556;-78.154349;4825;-0.29;11
5000_5050;1;12;1998;30;12;1998;-0.476689;-78.150164;5025;-0.12;12
4950_5000;1;12;1998;30;12;1998;-0.476303;-78.151219;4975;-0.17;12
4900_4950;1;12;1998;30;12;1998;-0.475682;-78.152163;4925;-0.16;12
4850_4900;1;12;1998;30;12;1998;-0.47481;-78.153253;4875;-0.32;12
4800_4850;1;12;1998;30;12;1998;-0.473556;-78.154349;4825;-0.28;12
